gender,marital_status,city,education_level,department,income_class,age,years_experience,weekly_hours,bonus_percentage,performance_score,overtime_hours,monthly_income,predicted_income,income_gap,gap_flag
Female,Married,Jakarta,S1,IT,High,31.0,9.0,41.1,6.7,101.1,6.9,9753,9590.270701193906,162.72929880609445,Fair
Male,Single,Bandung,SMA,Marketing,Low,40.0,7.0,40.0,10.0,82.5,9.8,7196,7146.159140145676,49.84085985432375,Fair
Male,Married,Jakarta,SMA,Sales,Low,45.0,5.0,46.3,9.9,62.3,6.2,8575,6866.864228628589,1708.1357713714106,Overpaid
Male,Single,Bandung,S1,Sales,High,35.0,14.0,39.7,18.3,50.2,8.1,9945,11317.215920218825,-1372.215920218825,Underpaid
Male,Married,Jakarta,S1,Marketing,High,37.0,13.0,37.6,9.9,68.1,14.5,10857,10623.093550412881,233.9064495871189,Fair
Male,Single,Bandung,D3,HR,High,49.0,16.0,36.7,9.9,81.8,9.9,14090,11847.04885185522,2242.9511481447807,Overpaid
Male,Married,Bandung,D3,Marketing,Low,37.0,1.0,38.8,9.9,79.9,5.3,4692,4710.963688740793,-18.96368874079326,Fair
Male,Single,Bandung,SMA,IT,High,56.0,15.0,37.8,9.9,73.9,14.7,9504,11448.32365838802,-1944.3236583880207,Underpaid
Female,Married,Jakarta,S1,HR,High,40.0,23.0,42.8,13.0,69.0,11.3,15451,14940.69124541647,510.30875458352966,Overpaid
Female,Married,Bandung,S2,Sales,High,21.0,8.0,42.1,1.3,66.0,9.8,10385,9272.224895633033,1112.7751043669668,Overpaid
Male,Divorced,Surabaya,SMA,IT,High,41.0,19.0,43.0,11.9,71.0,5.5,13589,13425.352150256045,163.6478497439548,Fair
Male,Divorced,Bandung,S1,Finance,High,38.0,9.0,46.3,9.9,64.9,2.7,10457,9999.65367252451,457.3463274754904,Fair
Female,Married,Jakarta,D3,Finance,Low,45.0,3.0,49.3,9.9,71.0,5.5,5475,6393.681271855177,-918.6812718551773,Underpaid
Male,Married,Jakarta,D3,Finance,Low,40.0,8.0,40.6,12.6,88.3,5.0,7707,7661.588292244709,45.41170775529099,Fair
Female,Married,Surabaya,SMA,Sales,High,34.0,15.0,45.5,9.9,67.3,6.9,11834,12147.287363297553,-313.2873632975534,Fair
Other,Married,Bandung,S1,Marketing,Low,25.0,6.0,38.2,11.7,81.1,9.8,8775,6610.932752098549,2164.067247901451,Overpaid
Female,Married,Jakarta,D3,HR,Low,33.0,7.0,45.9,13.3,82.6,10.6,7787,7706.717887063905,80.28211293609456,Fair
Male,Single,Bandung,S1,Sales,High,28.0,13.0,45.3,15.4,64.2,14.4,9145,11480.48526950672,-2335.48526950672,Underpaid
Female,Single,Surabaya,D3,IT,High,30.0,10.0,45.0,9.9,66.6,15.4,11886,10198.683318277488,1687.316681722512,Overpaid
Female,Married,Surabaya,SMA,IT,High,40.0,13.0,40.5,4.4,85.7,14.2,10775,10931.21853398549,-156.21853398548956,Fair
Male,Married,Jakarta,SMA,Finance,High,48.0,11.0,36.7,12.0,65.7,5.5,9820,9861.842945542032,-41.842945542031885,Fair
Female,Married,Bandung,S1,HR,Low,38.0,12.0,33.0,9.9,74.4,10.3,7696,8483.308449606277,-787.3084496062766,Underpaid
Male,Single,Surabaya,SMA,Finance,Low,35.0,8.0,39.8,9.9,95.4,17.8,8238,7679.102776626268,558.8972233737322,Overpaid
Female,Married,Surabaya,S1,IT,High,39.0,11.0,47.7,9.8,84.8,2.1,10286,10767.804256583951,-481.8042565839514,Fair
Male,Divorced,Jakarta,D3,IT,Low,45.0,5.0,38.5,12.2,75.9,16.7,5379,6278.3205191562665,-899.3205191562665,Underpaid
Male,Single,Surabaya,D3,Marketing,High,30.0,16.0,43.9,9.6,83.4,5.0,13061,12394.861746305305,666.1382536946949,Overpaid
Female,Married,Jakarta,D3,Marketing,Low,34.0,7.0,44.2,7.6,74.4,11.5,6216,7424.341199888062,-1208.341199888062,Underpaid
Male,Divorced,Surabaya,D3,Marketing,High,35.0,16.0,38.6,9.3,85.2,12.1,10885,11965.816759975676,-1080.8167599756762,Underpaid
Male,Single,Surabaya,SMA,Finance,High,29.0,9.0,46.6,9.9,54.5,9.8,10370,9978.170060184231,391.82993981576874,Fair
Female,Married,Jakarta,D3,HR,Low,40.0,11.0,25.5,4.2,73.6,21.1,7320,7468.293379876372,-148.29337987637155,Fair
Male,Married,Jakarta,S1,Marketing,Low,34.0,8.0,33.9,9.6,54.1,8.5,6895,6867.3010173934035,27.698982606596473,Fair
Female,Single,Bandung,S1,Sales,Low,38.0,5.0,35.4,9.9,76.6,1.8,6132,6126.117206835075,5.882793164924806,Fair
Male,Single,Surabaya,SMA,Marketing,Low,28.0,1.0,35.9,9.9,72.6,11.8,3718,4513.450208918208,-795.4502089182079,Underpaid
Male,Single,Bandung,D3,Finance,Low,32.0,10.0,41.7,5.3,88.6,9.1,7359,8592.578194202963,-1233.5781942029625,Underpaid
Male,Single,Bandung,SMA,HR,Low,41.0,8.0,41.5,9.9,82.1,12.8,8321,7737.285650869786,583.714349130214,Overpaid
Male,Divorced,Jakarta,SMA,Marketing,Low,32.0,11.0,42.0,9.9,69.7,14.4,8190,8823.08396353588,-633.0839635358807,Underpaid
Female,Single,Surabaya,SMA,HR,High,49.0,15.0,43.0,8.4,70.9,9.8,11063,11917.274268527295,-854.2742685272951,Underpaid
Male,Divorced,Jakarta,S1,Sales,Low,32.0,8.0,35.2,9.9,78.8,12.2,6682,7289.811411677405,-607.811411677405,Underpaid
Female,Single,Surabaya,SMA,Finance,Low,37.0,6.0,33.9,9.9,69.3,10.7,5928,6327.843507392129,-399.84350739212914,Fair
Male,Divorced,Jakarta,SMA,HR,Low,42.0,3.0,42.0,10.8,74.7,19.0,5810,5867.188103952269,-57.18810395226865,Fair
Male,Single,Surabaya,SMA,Marketing,High,24.0,12.0,36.8,9.9,88.2,8.1,9991,10342.805022663668,-351.80502266366784,Fair
Female,Married,Bandung,SMA,Finance,High,21.0,17.0,32.1,9.9,66.7,6.6,9347,11881.858517347408,-2534.8585173474075,Underpaid
Male,Single,Surabaya,S1,Finance,High,23.0,16.0,44.9,11.2,70.5,14.4,13511,12585.503854556142,925.496145443858,Overpaid
Male,Single,Surabaya,SMA,Finance,High,45.0,14.0,47.0,9.9,71.9,5.4,11607,11909.239514684812,-302.2395146848121,Fair
Male,Single,Jakarta,SMA,Finance,High,35.0,13.0,47.8,9.9,106.6,12.0,10158,11809.453481623648,-1651.4534816236483,Underpaid
Male,Single,Surabaya,S1,HR,High,35.0,18.0,40.0,10.7,81.1,9.2,14046,12900.005576228443,1145.9944237715572,Overpaid
Female,Single,Surabaya,D3,Finance,Low,30.0,12.0,43.1,9.9,86.3,9.5,8207,9453.98781637185,-1246.9878163718495,Underpaid
Female,Married,Surabaya,S1,IT,High,36.0,13.0,46.8,10.5,82.7,22.2,9609,11469.292047045215,-1860.2920470452154,Underpaid
Male,Single,Surabaya,S1,Finance,High,47.0,8.0,36.8,9.9,83.4,16.2,9808,8839.585780807027,968.4142191929732,Overpaid
Female,Married,Bandung,SMA,HR,Low,51.0,3.0,45.6,10.2,79.7,15.1,6202,6079.78257791109,122.2174220889101,Fair
Other,Married,Jakarta,S1,HR,Low,51.0,7.0,41.4,11.8,78.7,12.7,6900,7228.781859914501,-328.7818599145012,Fair
Female,Married,Surabaya,SMA,Finance,High,45.0,10.0,44.6,10.3,60.5,6.5,9565,10100.973264882832,-535.9732648828322,Underpaid
Male,Married,Jakarta,S1,Finance,Low,43.0,10.0,40.9,4.0,78.6,9.8,8911,8375.118673860157,535.8813261398427,Overpaid
Male,Married,Bandung,D3,HR,High,40.0,20.0,46.5,9.9,73.9,12.9,14684,14115.17158742035,568.8284125796508,Overpaid
Female,Married,Bandung,SMA,Finance,High,41.0,10.0,41.1,15.8,80.5,11.0,9601,9957.25685402719,-356.25685402718955,Fair
Male,Single,Surabaya,S1,Finance,High,31.0,16.0,32.6,10.0,74.3,10.5,11060,11553.087918453362,-493.08791845336236,Fair
Male,Married,Jakarta,S1,Finance,Low,28.0,8.0,47.3,12.9,82.6,8.0,9081,8239.170395728763,841.8296042712373,Overpaid
Male,Married,Jakarta,S2,Finance,Low,35.0,8.0,35.3,9.9,84.4,11.4,7368,7226.5392867879455,141.46071321205454,Fair
Female,Married,Bandung,D3,Marketing,Low,31.0,10.0,39.5,8.6,70.7,13.5,5849,8179.412673121453,-2330.412673121453,Underpaid
Female,Single,Bandung,SMA,Marketing,High,41.0,13.0,45.9,17.4,56.4,0.1,12407,11323.925588043774,1083.074411956226,Overpaid
Male,Single,Surabaya,SMA,Marketing,High,43.0,10.0,45.7,10.8,77.4,16.8,10215,10201.100089715641,13.899910284359066,Fair
Female,Married,Jakarta,D3,HR,High,36.0,15.0,42.2,8.4,72.0,3.4,12752,11872.83934588764,879.1606541123601,Overpaid
Female,Single,Jakarta,D3,Sales,High,47.0,11.0,42.5,5.0,88.6,4.7,9758,10492.03784343858,-734.0378434385802,Underpaid
Female,Single,Bandung,S2,HR,Low,26.0,8.0,42.1,15.9,77.1,12.0,8437,7847.438892107453,589.5611078925467,Overpaid
Other,Single,Surabaya,D3,Marketing,High,33.0,21.0,40.0,9.9,70.1,12.7,13315,13903.176255817776,-588.1762558177761,Underpaid
Other,Single,Surabaya,D3,HR,High,35.0,10.0,40.6,12.2,84.4,20.4,10217,9934.60121792676,282.39878207324,Fair
Female,Single,Surabaya,D3,Sales,High,20.0,16.0,34.4,12.6,71.8,11.5,11097,11757.871865646932,-660.8718656469318,Underpaid
Female,Single,Bandung,S1,Finance,Low,34.0,8.0,40.9,8.6,70.0,9.8,7102,7701.62200370303,-599.6220037030298,Underpaid
Male,Single,Jakarta,S1,IT,High,34.0,14.0,34.3,12.0,78.9,11.0,10950,10889.597422868135,60.402577131864746,Fair
Female,Single,Surabaya,S1,Marketing,High,47.0,15.0,34.1,9.9,91.1,18.0,10755,11189.68608162291,-434.6860816229091,Fair
Female,Single,Surabaya,D3,Marketing,High,40.0,11.0,48.0,7.0,83.5,22.1,10552,10809.301239419092,-257.30123941909187,Fair
Female,Married,Jakarta,S1,Sales,Low,27.0,2.0,45.3,13.5,80.7,9.1,6246,5813.155960208208,432.84403979179206,Fair
Male,Single,Surabaya,SMA,Finance,Low,50.0,10.0,40.0,9.5,102.5,12.7,8419,8417.351415858242,1.648584141757965,Fair
Male,Married,Bandung,S1,Finance,High,45.0,16.0,40.9,9.9,67.7,9.6,11873,12121.320991479875,-248.32099147987537,Fair
Male,Married,Surabaya,S1,IT,High,40.0,13.0,38.8,11.2,67.5,9.5,10066,10718.708926803643,-652.7089268036434,Underpaid
Female,Married,Jakarta,D3,Finance,High,35.0,10.0,42.8,9.9,76.5,19.4,11572,10092.714597186694,1479.285402813306,Overpaid
Other,Married,Bandung,D3,Sales,Low,27.0,1.0,36.6,5.3,90.2,5.4,4176,4725.489678364471,-549.4896783644708,Underpaid
Male,Single,Surabaya,S1,Finance,Low,32.0,6.0,45.0,8.2,65.6,1.7,7653,7223.909850611433,429.0901493885667,Fair
Female,Divorced,Jakarta,SMA,Sales,Low,44.0,12.0,38.7,9.0,92.5,11.6,8717,9109.639536490435,-392.6395364904347,Fair
Male,Single,Jakarta,S1,Marketing,High,50.0,12.0,37.9,7.5,60.6,16.0,10521,10240.158539100015,280.84146089998467,Fair
Female,Single,Jakarta,D3,Marketing,High,47.0,16.0,40.1,11.3,73.8,11.1,12439,12019.664237812603,419.33576218739654,Fair
Female,Single,Jakarta,D3,Marketing,Low,31.0,9.0,37.0,13.6,76.7,12.5,7369,7686.843420522541,-317.84342052254124,Fair
Male,Married,Surabaya,SMA,HR,High,26.0,12.0,41.6,9.9,66.2,9.8,12087,10673.863762889809,1413.1362371101914,Overpaid
Male,Divorced,Surabaya,D3,Marketing,Low,36.0,10.0,37.3,9.9,68.8,10.6,9069,8006.587779660869,1062.4122203391307,Overpaid
Male,Married,Bandung,D3,Sales,Low,21.0,5.0,42.3,10.9,83.0,12.8,6111,6728.544153842364,-617.5441538423638,Underpaid
Other,Married,Bandung,D3,IT,Low,38.0,1.0,46.1,9.9,89.4,12.7,5105,5383.087187146728,-278.08718714672796,Fair
Female,Single,Jakarta,D3,Marketing,High,31.0,11.0,39.3,9.9,76.8,10.6,10979,10132.432723228787,846.5672767712131,Overpaid
Male,Married,Bandung,S2,HR,Low,22.0,7.0,42.3,9.9,73.9,2.1,8664,7399.222004226165,1264.7779957738348,Overpaid
Female,Divorced,Surabaya,S1,HR,Low,39.0,2.0,37.8,12.8,76.1,9.8,5236,5139.786620273555,96.21337972644505,Fair
Male,Married,Surabaya,S1,Sales,High,31.0,13.0,42.3,9.9,71.8,7.5,12449,11145.332994689612,1303.667005310388,Overpaid
Male,Single,Surabaya,SMA,IT,Low,26.0,9.0,42.8,13.6,62.1,15.2,7739,8129.00005291741,-390.00005291741036,Fair
Male,Married,Jakarta,D3,Marketing,High,12.0,13.0,45.4,11.6,90.4,11.2,11818,11459.263089655176,358.7369103448236,Fair
Male,Single,Bandung,D3,Marketing,High,35.0,10.0,37.0,6.9,86.6,9.8,13744,9573.753638471338,4170.2463615286615,Overpaid
Male,Single,Bandung,S1,HR,Low,49.0,1.0,35.3,9.6,74.0,9.0,3798,4503.705340459483,-705.7053404594826,Underpaid
Female,Married,Bandung,S1,Sales,Low,48.0,7.0,38.5,5.0,70.1,15.3,7120,7008.786628948919,111.21337105108068,Fair
Male,Single,Surabaya,SMA,HR,Low,35.0,9.0,35.2,9.9,68.9,2.0,8939,7532.603530608001,1406.3964693919988,Overpaid
Female,Single,Bandung,SMA,HR,High,30.0,17.0,42.8,9.5,49.1,5.5,13632,12679.42985074185,952.5701492581502,Overpaid
Male,Married,Bandung,S1,IT,Low,39.0,2.0,34.2,9.9,78.5,16.4,2997,4743.852300347807,-1746.8523003478067,Underpaid
Male,Married,Surabaya,SMA,Sales,High,27.0,20.0,51.7,13.6,82.8,7.8,16983,14642.786654616271,2340.2133453837287,Overpaid
Male,Single,Jakarta,S1,IT,High,37.0,11.0,46.5,8.6,76.4,0.7,11291,10717.920361611445,573.0796383885554,Overpaid
Female,Single,Jakarta,S1,Sales,Low,41.0,10.0,40.1,9.2,74.1,17.3,8725,8389.883641383538,335.1163586164621,Fair
Male,Married,Surabaya,S1,Marketing,Low,45.0,9.0,44.3,10.1,76.3,15.4,8142,8122.627389439164,19.37261056083571,Fair
Male,Single,Bandung,SMA,Finance,Low,34.0,8.0,31.8,4.5,66.5,13.6,8292,6925.33831289534,1366.66168710466,Overpaid
Female,Married,Jakarta,SMA,Finance,High,33.0,15.0,52.6,9.2,70.0,9.8,13258,12768.762494419449,489.23750558055144,Fair
Male,Divorced,Jakarta,S1,Sales,Low,28.0,5.0,37.0,2.5,73.3,18.3,6921,6281.051336503163,639.9486634968371,Overpaid
Female,Married,Jakarta,S2,Finance,High,35.0,12.0,39.4,8.2,82.0,16.3,10511,10586.335710209138,-75.33571020913769,Fair
Male,Single,Surabaya,D3,HR,Low,33.0,8.0,30.7,12.6,88.8,17.7,8287,6887.152968148092,1399.8470318519076,Overpaid
Male,Single,Jakarta,D3,Marketing,Low,38.0,10.0,42.4,11.3,72.7,13.5,8099,8450.215019843985,-351.2150198439849,Fair
Female,Married,Bandung,S1,Marketing,High,42.0,23.0,34.5,9.9,64.6,9.8,14413,14135.08848991696,277.9115100830404,Fair
Male,Married,Surabaya,S2,Finance,High,29.0,12.0,40.5,10.1,75.4,8.0,9458,10636.010295697339,-1178.0102956973387,Underpaid
Male,Married,Surabaya,S1,Sales,High,47.0,13.0,37.3,6.8,95.1,3.7,10584,10754.536305177435,-170.53630517743477,Fair
Female,Single,Jakarta,S2,HR,High,33.0,16.0,34.6,10.0,65.4,12.5,13751,11679.972989159693,2071.0270108403074,Overpaid
Male,Single,Bandung,SMA,Sales,Low,35.0,3.0,36.0,9.9,83.9,12.9,4948,5457.840127357646,-509.84012735764645,Underpaid
Female,Single,Surabaya,SMA,Finance,High,29.0,19.0,41.1,15.5,88.4,8.3,13976,13476.869174052763,499.1308259472371,Fair
Female,Married,Jakarta,S1,Marketing,Low,16.0,3.0,33.6,9.9,71.4,13.1,5754,5103.901357070005,650.0986429299946,Overpaid
Female,Married,Bandung,S1,Marketing,Low,42.0,6.0,36.3,10.5,68.0,8.3,6206,6344.424178088527,-138.4241780885268,Fair
Male,Single,Bandung,SMA,Sales,High,41.0,8.0,40.0,9.9,80.7,14.3,9129,9152.854473814414,-23.854473814413723,Fair
Female,Married,Surabaya,SMA,IT,High,33.0,13.0,53.0,7.6,78.5,5.6,11815,11959.386199622697,-144.38619962269695,Fair
Male,Married,Jakarta,S1,Sales,High,36.0,11.0,42.4,9.9,81.9,4.7,10989,10442.303058700414,546.6969412995859,Overpaid
Male,Married,Bandung,SMA,IT,Low,35.0,9.0,40.0,8.4,95.7,8.8,7097,7954.355744857665,-857.3557448576648,Underpaid
Female,Married,Surabaya,D3,Sales,High,22.0,10.0,38.2,12.7,76.7,14.1,11130,9748.912125603416,1381.087874396584,Overpaid
Male,Married,Surabaya,S1,IT,Low,31.0,5.0,40.2,14.7,63.1,4.2,6203,6316.873259180968,-113.87325918096758,Fair
Male,Married,Surabaya,S1,IT,Low,41.0,3.0,38.3,11.0,75.7,15.2,5847,5410.85421504222,436.14578495778005,Fair
Male,Married,Surabaya,S1,IT,High,25.0,14.0,44.5,9.9,77.4,1.8,11456,11659.942833410585,-203.94283341058508,Fair
Other,Married,Surabaya,D3,IT,High,37.0,13.0,41.1,5.0,87.7,8.8,9530,10982.266972904843,-1452.266972904843,Underpaid
Male,Married,Bandung,S1,HR,High,24.0,18.0,44.5,9.9,73.0,2.9,14287,13247.54208881686,1039.4579111831408,Overpaid
Male,Single,Surabaya,S1,IT,Low,39.0,6.0,38.4,9.9,70.9,3.0,6578,6595.2005887136165,-17.200588713616526,Fair
Female,Married,Jakarta,S1,IT,High,35.0,13.0,46.6,8.7,61.3,11.8,11688,11388.09039747335,299.9096025266499,Fair
Female,Single,Jakarta,S1,Marketing,Low,22.0,9.0,39.2,12.9,80.5,9.1,7612,7915.11276031648,-303.1127603164796,Fair
Female,Single,Surabaya,SMA,IT,High,29.0,15.0,50.9,9.9,72.8,7.4,12294,12604.410121559864,-310.4101215598639,Fair
Male,Single,Surabaya,SMA,Finance,High,29.0,11.0,30.9,8.8,79.5,12.2,9138,9547.421781211593,-409.42178121159304,Fair
Male,Single,Bandung,SMA,HR,Low,37.0,8.0,36.3,9.9,69.5,9.8,7938,7273.734927497646,664.2650725023541,Overpaid
Male,Single,Surabaya,S1,Finance,High,44.0,15.0,36.9,6.4,62.2,9.0,11010,11415.789889989712,-405.7898899897118,Fair
Female,Single,Surabaya,S1,Sales,High,27.0,13.0,52.5,9.9,79.3,8.0,11384,12099.484705794428,-715.484705794428,Underpaid
Male,Single,Jakarta,S1,Marketing,Low,35.0,7.0,49.0,5.2,75.3,7.1,8718,7859.00126425952,858.9987357404798,Overpaid
Female,Single,Surabaya,S1,Marketing,Low,38.0,3.0,47.5,12.0,51.1,7.0,6445,6105.873250291548,339.1267497084518,Fair
Other,Single,Bandung,D3,HR,Low,41.0,9.0,38.3,11.2,91.1,6.9,8464,7882.554976952634,581.4450230473658,Overpaid
Male,Married,Jakarta,D3,HR,High,35.0,18.0,52.1,9.9,79.2,6.2,16182,13851.850645363713,2330.149354636287,Overpaid
Other,Single,Bandung,D3,Finance,High,32.0,16.0,41.8,9.9,75.7,4.9,12736,12332.756966186971,403.2430338130289,Fair
Male,Divorced,Bandung,SMA,Finance,Low,28.0,4.0,44.9,6.4,70.8,8.1,8413,6543.545042942863,1869.454957057137,Overpaid
Male,Married,Surabaya,SMA,HR,Low,36.0,10.0,40.9,9.9,79.1,6.8,6020,8360.227392578143,-2340.227392578143,Underpaid
Female,Single,Surabaya,S1,HR,High,26.0,16.0,39.8,10.2,79.5,4.6,11927,12161.524987886818,-234.52498788681805,Fair
Female,Single,Jakarta,S2,HR,Low,12.0,4.0,38.7,9.9,79.0,13.8,5369,6101.118735417834,-732.1187354178337,Underpaid
Female,Single,Bandung,SMA,Sales,High,38.0,13.0,39.0,9.1,85.7,16.2,10697,11007.950718926355,-310.95071892635497,Fair
Male,Married,Bandung,SMA,Marketing,Low,42.0,7.0,43.0,9.9,88.0,10.0,7479,7346.843521071127,132.15647892887318,Fair
Female,Married,Surabaya,S1,Finance,High,16.0,10.0,41.8,9.9,95.1,10.3,12715,10129.219874236864,2585.7801257631363,Overpaid
Female,Single,Bandung,SMA,Finance,Low,27.0,6.0,39.8,9.9,66.6,6.5,5084,6870.921787674271,-1786.9217876742714,Underpaid
Male,Single,Bandung,S1,IT,High,40.0,16.0,47.5,9.9,69.3,15.3,14221,12669.10344050301,1551.8965594969904,Overpaid
Female,Married,Bandung,S1,Sales,Low,51.0,11.0,25.2,9.9,78.6,18.7,7633,7468.422005001126,164.5779949988737,Fair
Other,Single,Bandung,S2,Finance,High,35.0,11.0,42.5,9.9,67.2,9.2,11230,10448.335466223634,781.6645337763657,Overpaid
Male,Divorced,Bandung,D3,HR,Low,29.0,0.0,43.6,11.8,68.8,7.4,4263,4887.811818244694,-624.8118182446942,Underpaid
Female,Single,Jakarta,S1,Sales,Low,35.0,1.0,45.7,8.7,79.8,11.7,5718,5480.837212476503,237.16278752349717,Fair
Female,Single,Bandung,D3,Finance,Low,46.0,9.0,39.7,5.0,84.0,10.6,8542,7983.2370879023165,558.7629120976835,Overpaid
Female,Single,Bandung,S1,HR,High,30.0,11.0,41.0,14.5,87.8,7.5,10019,10424.30677403862,-405.30677403861955,Fair
Male,Married,Jakarta,D3,IT,Low,35.0,4.0,44.9,9.1,73.1,12.4,5484,6369.169056780461,-885.1690567804608,Underpaid
Female,Single,Surabaya,SMA,Finance,Low,31.0,5.0,47.5,6.8,79.6,9.8,8428,7124.312167794885,1303.6878322051152,Overpaid
Other,Single,Surabaya,S1,Marketing,High,35.0,13.0,38.5,8.8,77.4,6.1,9983,10760.998486460096,-777.9984864600956,Underpaid
Male,Single,Jakarta,S1,Sales,High,36.0,13.0,41.3,7.6,75.2,22.7,11559,11148.0943138676,410.90568613240066,Fair
Female,Single,Jakarta,S1,Finance,Low,48.0,9.0,48.4,9.9,66.8,2.3,7879,8622.044417261073,-743.0444172610732,Underpaid
Female,Married,Surabaya,S1,Marketing,High,38.0,14.0,29.4,9.3,65.6,5.7,9183,10289.657174863063,-1106.6571748630631,Underpaid
Male,Single,Bandung,S1,IT,Low,33.0,4.0,36.5,15.2,81.7,11.2,6027,5797.200452668854,229.79954733114573,Fair
Male,Married,Bandung,SMA,Sales,Low,33.0,8.0,47.3,8.0,66.7,21.2,8569,8160.725431386199,408.2745686138014,Fair
Female,Single,Jakarta,S1,HR,High,22.0,18.0,45.5,15.0,57.2,7.2,14003,13354.352226019271,648.6477739807287,Overpaid
Male,Married,Bandung,S1,HR,High,42.0,10.0,42.6,9.9,74.7,4.7,9469,9992.838920057724,-523.838920057724,Underpaid
Male,Married,Jakarta,S1,Marketing,High,34.0,11.0,37.8,11.2,89.6,12.7,11104,9982.6324904872,1121.3675095128,Overpaid
Female,Married,Surabaya,S2,Finance,High,34.0,22.0,35.6,9.9,47.1,9.8,15099,13899.998871274112,1199.0011287258876,Overpaid
Female,Married,Bandung,SMA,IT,Low,61.0,3.0,37.0,9.9,72.1,13.3,4772,5246.971912044727,-474.9719120447271,Fair
Male,Single,Surabaya,S1,Marketing,High,37.0,14.0,47.7,9.9,81.8,9.6,11381,11915.919271590621,-534.9192715906211,Underpaid
Female,Divorced,Bandung,SMA,IT,High,29.0,18.0,36.9,11.7,56.8,5.7,13890,12577.226320713737,1312.7736792862634,Overpaid
Male,Single,Bandung,S1,IT,High,44.0,14.0,36.2,9.9,63.6,9.8,11182,10940.161163648945,241.83883635105485,Fair
Female,Single,Jakarta,SMA,Sales,Low,35.0,5.0,40.0,9.9,64.9,19.1,5806,6477.935826707635,-671.935826707635,Underpaid
Female,Single,Surabaya,S1,Marketing,Low,23.0,7.0,37.3,9.9,71.0,14.7,8340,6926.535135628211,1413.4648643717892,Overpaid
Male,Married,Jakarta,SMA,Sales,High,42.0,12.0,39.5,9.9,63.8,6.3,9519,10488.313634982724,-969.3136349827237,Underpaid
Female,Single,Jakarta,SMA,Finance,High,30.0,14.0,31.6,8.2,62.9,19.4,10685,10711.601640223116,-26.601640223116192,Fair
Female,Divorced,Surabaya,S1,Finance,High,50.0,16.0,31.9,9.9,74.4,3.1,11231,11439.342343626662,-208.3423436266621,Fair
Male,Single,Surabaya,S1,HR,High,44.0,18.0,40.0,9.9,97.3,15.0,11617,12930.505727406982,-1313.5057274069823,Underpaid
Male,Married,Jakarta,S2,HR,Low,31.0,10.0,33.4,9.9,82.6,0.4,8978,7800.2590166813325,1177.7409833186675,Overpaid
Male,Married,Jakarta,S1,HR,High,45.0,10.0,40.0,12.0,85.1,4.3,12332,9810.823633927486,2521.1763660725137,Overpaid
Male,Married,Jakarta,S1,Finance,Low,36.0,8.0,29.7,2.5,83.0,4.3,7771,6736.920578391925,1034.0794216080749,Overpaid
Male,Single,Surabaya,D3,IT,High,42.0,15.0,36.0,9.9,68.0,6.2,10098,11296.709328059771,-1198.709328059771,Underpaid
Male,Divorced,Jakarta,SMA,IT,High,39.0,11.0,40.1,7.7,78.1,10.1,9750,10212.432795188528,-462.43279518852796,Fair
Female,Divorced,Surabaya,SMA,Marketing,High,28.0,12.0,40.0,9.9,86.0,5.9,9856,10604.61573645066,-748.6157364506598,Underpaid
Male,Divorced,Jakarta,S1,Finance,Low,30.0,12.0,34.5,9.9,83.3,0.2,8845,8763.345711040734,81.65428895926561,Fair
Female,Married,Surabaya,S1,HR,Low,43.0,10.0,35.2,11.2,76.9,12.3,5901,7868.457745755688,-1967.457745755688,Underpaid
Female,Married,Jakarta,D3,Finance,Low,32.0,4.0,35.0,6.2,80.2,10.2,5538,5683.279359409714,-145.27935940971383,Fair
Female,Married,Bandung,S1,IT,Low,32.0,11.0,38.6,9.9,99.6,9.8,8935,8637.409763953183,297.59023604681715,Fair
Female,Married,Bandung,S1,IT,Low,27.0,2.0,49.8,8.1,83.4,10.9,6275,6096.307648566465,178.6923514335349,Fair
Female,Married,Surabaya,SMA,Sales,High,38.0,14.0,40.4,9.9,71.8,14.8,9583,11355.872396152407,-1772.8723961524065,Underpaid
Female,Married,Surabaya,SMA,Sales,High,52.0,14.0,45.9,10.0,74.3,9.6,14043,11757.619460012565,2285.3805399874345,Overpaid
Female,Married,Bandung,S1,Marketing,High,26.0,12.0,42.5,10.7,64.5,15.1,9168,10691.592696932132,-1523.5926969321317,Underpaid
Male,Divorced,Surabaya,S1,Finance,Low,35.0,4.0,45.6,10.1,98.5,6.1,7109,6658.86867614972,450.13132385027984,Fair
Male,Single,Surabaya,S1,Sales,High,46.0,17.0,26.0,9.9,91.0,6.4,11161,11398.864184818325,-237.86418481832516,Fair
Female,Married,Bandung,SMA,Sales,High,34.0,20.0,38.5,9.9,75.8,16.9,15028,13539.513374874967,1488.4866251250332,Overpaid
Female,Single,Jakarta,S2,Finance,High,39.0,10.0,46.5,9.9,96.8,16.8,10331,10518.685675953118,-187.68567595311833,Fair
Male,Single,Surabaya,SMA,IT,High,27.0,13.0,37.1,7.7,81.3,12.9,9576,10744.017766949355,-1168.017766949355,Underpaid
Male,Single,Surabaya,SMA,Marketing,Low,35.0,11.0,48.8,9.9,70.7,5.6,8523,9324.14658901214,-801.1465890121399,Underpaid
Female,Single,Jakarta,S2,Marketing,High,34.0,13.0,47.4,9.9,84.1,5.2,9462,11568.008741214853,-2106.008741214853,Underpaid
Male,Divorced,Jakarta,SMA,Marketing,Low,43.0,9.0,37.7,12.1,79.0,16.6,8027,7710.741985106263,316.2580148937368,Fair
